,attraction__id,attraction__name,attraction__location__lat,attraction__location__lng,attraction__opening__hours,attraction__rating,results__type
189,u0qfikB-ppp6UwoNKqxlRw,Flame,40.78396,-73.97444,1200.0,4.0,Sushi Bars
190,3omBIylGFJugwLgNgUgOXw,Bar Bacon,40.7664356,-73.98676400000001,1200.0,4.0,Gastropubs
191,CaizM2WaGPX5eRLDOJaqIw,Angkor Cambodian Bistro,40.762260437011705,-73.9591445922852,1200.0,4.5,Cambodian
192,FC2uST9JpPCFmjDcMDVZMA,Naked Crab,40.7585,-73.83466999999999,1600.0,4.0,Seafood
193,2A2DCuV8cuoUoT3Kt2XTcg,Minnie's,40.72045,-73.98448,1800.0,4.0,American (Traditional)
194,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,40.745407930879296,-73.97914783068849,1200.0,4.0,French
195,W8klIp0hw6lbrqpIar5AKg,The Bari,40.72862,-73.99226999999999,1700.0,4.0,Korean
196,FCms-eFFxnpMLm09AJridQ,Peaches Shrimp and Crab,40.6879838,-73.9625478,1100.0,4.0,Seafood
197,dgaNriM1VdI2nGochhHE_g,Casa Enrique,40.743404338358005,-73.95435036769301,1700.0,4.0,Mexican
198,kr_Wu5m0P-AEghraNqXeTA,Ikinari Steak East Village,40.73088,-73.98968,1100.0,4.0,Steakhouses
199,i8F0fnempD5fTb2CxbwKDw,Izakaya,40.72667,-73.98738,1800.0,4.0,Izakaya
200,AjlmpAQV8W4--y0EksO-9g,Simple NYC,40.71821,-73.99223,1100.0,4.5,Poke
201,k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,40.727989,-73.98845,1100.0,4.0,Italian
202,yEWj9Vm-UyYsBD1l8oCwCA,Taylor Made Jamaican Eatery,40.6876188273664,-73.95965684205291,1200.0,4.5,Caribbean
203,c6R_hvUwsqXX2MUXWtO94Q,Nakamura,40.717975,-73.98511500000001,1130.0,4.0,Ramen
204,2N0rmZr3YVSa_sZYTJHxIA,Imani Caribbean Kitchen & Bar,40.689413,-73.970866,1700.0,4.5,Caribbean
205,N5UY113nNpeKdLPv0cbMjQ,The Wild Son,40.74073,-74.00836,1000.0,4.5,American (New)
206,yZs_A8r0qDz7Z5bR0C-aiQ,Black Tap Craft Burger & Beers,40.76347,-73.97978,1100.0,4.0,Burgers
207,L3reOLLPez7lnOhyfCpvkg,Shinka Ramen & Sake Bar,40.7170795322745,-73.9952574670315,1700.0,4.5,Ramen
208,8IzVyi4kNO_lpEW1r_DbiA,Houdini Kitchen Laboratory,40.694148,-73.902337,1700.0,4.0,Pizza
209,NGcz0alNBJVnirAL-r8K9g,Hot N Juicy Crawfish,40.7395099255823,-74.0016006497376,1200.0,4.5,Cajun/Creole
210,_tHF8-3rbyMesgdkQzB2yQ,Serendipity 3,40.761851,-73.9649001,1130.0,3.0,Desserts
